dd,Learning Community Title,,CRN,Subject,Course #,Liberal Learning  Attribute,Day,Time,NOTES,,,,,,,,,,,,,,,
17,Engineering the Future (ILC),20,8759,ENGR,121,,TR,1100-1215,ILC: Gerousis (CE Majors Only need MATH 140),,,,,,,,,,,,,,,
17,Engineering the Future (ILC),20,8693,CPSC,150,AINW,MWF,1000-1050,,,,,,,,,,,,,,,,
17,Engineering the Future (ILC),16,8411,MATH,132,LLFM,MWF,1400-1450,,,,,,,,,,,,,,,,
17,Engineering the Future (ILC),12,8419,MATH,140,LLFM,MTWFR,1500-1550,,,,,,,,,,,,,,,,
18,Expanding Horizons through Science,19,8052,BIOL,113,AINW,MW,1800-1915,,,,,,,,,,,,,,,,
18,Expanding Horizons through Science,19,9192,ENGL,123,LLFW,TR,1100-1215,,,,,,,,,,,,,,,,
19,Expanding Horizons through Science,18,8107,BIOL,115,AINW,MW,1600-1715,,,,,,,,,,,,,,,,
19,Expanding Horizons through Science,18,8456,PSYC,202,,TR,0930-1045,,,,,,,,,,,,,,,,
19,Expanding Horizons through Science,18,8781,PHIL,205,LLFR,MW,1930-2045,,,,,,,,,,,,,,,,
20,Expanding Horizons through Science,18,8382,MATH,115,LLFM,MWF,0900-0950,,,,,,,,,,,,,,,,
20,Expanding Horizons through Science,18,8103,BIOL,109L,AINW,T,1800-1950,,,,,,,,,,,,,,,,
20,Expanding Horizons through Science,18,8107,BIOL,115,AINW,MW,1600-1715,,,,,,,,,,,,,,,,
21,Exploring All Things Biological,18,8399,MATH,125,LLFM,TR,1100-1215,,,,,,,,,,,,,,,,
21,Exploring All Things Biological,18,8151,CHEM,121,AINW,MWF,1300-1350,,,,,,,,,,,,,,,,
22,Exploring All Things Biological ,18,8389,MATH,125,LLFM,MWF,1000-1050,,,,,,,,,,,,,,,,
22,Exploring All Things Biological ,18,8153,CHEM,121,AINW,TR,0930-1045,,,,,,,,,,,,,,,,
22,Exploring All Things Biological ,18,8685,CPSC,110,LLFR,MW,1800-1915,,,,,,,,,,,,,,,,
23,Exploring All Things Biological (ILC),20,8053,BIOL,211,,TR,1100-1215,ILC: BROWN (WIND SCHOLARS ONLY),,,,,,,,,,,,,,,
23,Exploring All Things Biological (ILC),20,8150,CHEM,121,AINW,MWF,1000-1050,,,,,,,,,,,,,,,,
23,Exploring All Things Biological (ILC),20,8687,CPSC,110,LLFR,MW ,1930-2045,,,,,,,,,,,,,,,,
24,Fostering Learning in Young Minds,16,8688,CPSC,110,LLFR,MW,2100-2215,,,,,,,,,,,,,,,,
24,Fostering Learning in Young Minds,16,8460,PSYC,208,,TR,1100-1215,,,,,,,,,,,,,,,,
25,Fostering Learning in Young Minds,19,8653,FNAR,201,AICE,TR,1800-1915,,,,,,,,,,,,,,,,
25,Fostering Learning in Young Minds,19,8885,AMST,100,AIDE,MWF,1500-1550,,,,,,,,,,,,,,,,
25,Fostering Learning in Young Minds,19,8459,PSYC,208,,MWF,0900-0950,,,,,,,,,,,,,,,,
26,Fostering Learning in Young Minds (ILC),16,9182,ENGL,123,LLFW,TR,1500-1615,ILC: Apolloni (NO ATHLETES ILC),,,,,,,,,,,,,,,
26,Fostering Learning in Young Minds (ILC),16,9149,THEA,210,AICE,MWF,1100-1150,,,,,,,,,,,,,,,,
26,Fostering Learning in Young Minds (ILC),16,8458,PSYC,208,,MWF,0800-0850,,,,,,,,,,,,,,,,
27,Getting to Know the Liberal Arts,16,8385,MATH,115,LLFM,TR,0800-0915,,,,,,,,,,,,,,,,
27,Getting to Know the Liberal Arts,16,8690,CPSC,110,LLFR,MWF,1400-1450,,,,,,,,,,,,,,,,
