CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,
"8375","MATH 135","5","Calculus for Busn/Social Sci","3","  LLFM","Lec","TR","1100-1215","LUTR 269","Carpenter, Ryan","1","Open","33","34","","","","",
"8376","MATH 140","1M","Calculus and Analytic Geometry","4","  LLFM","Lec","MWF; TR","0900-0950; 0930-1020","LUTR 376; LUTR 376","Kelly, Jessica","4","Open","21","25","","","","",
"8377","MATH 140","2M","Calculus and Analytic Geometry","4","  LLFM","Lec","MTWRF","1100-1150","LUTR 376","Bradie, Brian","-1","Closed","26","25","","","","",
"8378","MATH 140","3M","Calculus and Analytic Geometry","4","  LLFM","Lec","MWF; TR","1300-1350; 1330-1420","LUTR 376; LUTR 376","Kuster, George","5","Open","20","25","","","","",
"8379","MATH 140","4M","Calculus and Analytic Geometry","4","  LLFM","Lec","MTWRF","1500-1550","LUTR 376","Samuels, Charles","6","Open","19","25","","","","",
"8380","MATH 148","1","Accelerated Calculus","3","  LLFM","Lec","MWF","1000-1050","LUTR 347","Kennedy, Christopher","21","Open","4","25","","","","",
"8381","MATH 235","1","Applied Matrix Techniques","3","  LLFM","Lec","MWF","1400-1450","LUTR 269","Kelly, Jessica","0","Closed","25","25","","","","",
"8382","MATH 235","2","Applied Matrix Techniques","3","  LLFM","Lec","TR","1500-1615","LUTR 352","Martin, James","3","Open","16","19","","","","",
"8383","MATH 240","1","Intermediate Calculus","4","  LLFM","Lec","MW; F","1000-1115; 1000-1050","FORBES 2070A; FORBES 2070A","Chen, Hongwei","1","Open","24","25","","","","",
"8384","MATH 240","2","Intermediate Calculus","4","  LLFM","Lec","MW; F","1200-1315; 1200-1250","FORBES 2070A; FORBES 2070A","Dobrescu, Mihaela","3","Open","22","25","","","","",
"8385","MATH 240","3","Intermediate Calculus","4","  LLFM","Lec","MW; F","1400-1515; 1400-1450","LUTR 347; LUTR 347","Panayotova, Iordanka","6","Open","19","25","","","","",
"8386","MATH 245","1","Proofs and Discrete Math","3","  LLFM","Lec","MWF","0900-0950","LUTR 137","Kelly, James","10","Open","15","25","","","","",
"8387","MATH 247","1","Intro Ordinary Differential Eq","3","  LLFM","Lec","MWF","1300-1350","LUTR 269","Kelly, Jessica","7","Open","18","25","","","","",
"8388","MATH 247","2","Intro Ordinary Differential Eq","3","  LLFM","Lec","TR","1100-1215","LUTR 352","Kuster, George","3","Open","16","19","","","","",
"8390","MATH 250","2","Multivariable Calculus","3","  LLFM","Lec","TR","1330-1445","LUTR 352","Dobrescu, Mihaela","3","Open","16","19","","","","",
"8391","MATH 260","1","Linear Algebra","3","  LLFM","Lec","MWF","1200-1250","LUTR 376","Perry, James","10","Open","15","25","","","","",
"8392","MATH 260","2","Linear Algebra","3","  LLFM","Lec","TR","0930-1045","LUTR 352","Samuels, Charles","6","Open","13","19","","","","",
"8393","MATH 301","1","WI: Writing in Mathematics","1","  LLFM  WI","Lec","M","1100-1150","LUTR 352","Morena, Matthew","0","Closed","12","12","","","","",
"8394","MATH 301","2","WI: Writing in Mathematics","1","  LLFM  WI","Lec","F","1200-1250","LUTR 352","Kelly, James","3","Open","9","12","","","","",
"8395","MATH 335","1","Applied Probability","3","  LLFM","Lec","MWF","0800-0850","LUTR 137","Kelly, James","15","Open","10","25","","","","",
"8396","MATH 360","1","Real Analysis I","3","  LLFM","Lec","MWF","0900-0950","LUTR 347","Kennedy, Christopher","14","Open","11","25","","","","",
"8397","MATH 365","1","Topology","3","  LLFM","Lec","TR","1500-1615","LUTR 269","Williams, Marla","22","Open","3","25","","","","",
"8398","MATH 370","1","Modern Algebra I","3","  LLFM","Lec","TR","0930-1045","LUTR 242","Fogarty, Neville","3","Open","22","25","","","","",
"8399","MATH 390","1","Operations Research","3","  LLFM","Lec","MWF","1200-1250","LUTR 264","Carpenter, Ryan","4","Open","21","25","","","","",
"8400","MATH 447","1","Advanced Differential Equation","3","  LLFM","Lec","TR","1330-1445","LUTR 105","Morena, Matthew","21","Open","4","25","","","","",
"9320","MATH 499","1","IND ST: Blood Glucose Mod Behv","2","  LLFM","Ind","","","ARR ","Morena, Matthew","-1","Closed","1","0","","","","",
"9414","MATH 499","2","IND ST: STEM Learning &amp; Tching","1","  LLFM","Ind","","","ARR ","Kuster, George","-4","Closed","4","0","","","","",
"9423","MATH 499","3","IND ST: Mathematics &amp; Sports","1","  LLFM","Ind","","","ARR ","Kelly, Jessica","-1","Closed","1","0","","","","",
"9424","MATH 499","4","IND ST: Fractional Calculus","1","  LLFM","Ind","","","ARR ","Kelly, Jessica","-1","Closed","1","0","","","","",
"9426","MATH 499","5","IND ST: Linear Chaos","2","  LLFM","Ind","","","ARR ","Kelly, James","-2","Closed","2","0","","","","",
"9430","MATH 499","6","IND ST: Math Modeling of COVID","2","  LLFM","Ind","","","ARR ","Panayotova, Iordanka","-2","Closed","2","0","","","","",
"9431","MATH 499","7","IND ST: Math Model Sustain Mgt","3","  LLFM","Ind","","","ARR ","Panayotova, Iordanka","-2","Closed","2","0","","","","",
"9257","MATH 538","1","Apprenticeship - Teaching Math","3","  LLFM","Pra","","","ARR ","Kuster, George","4","Open","4","8","","","","",
"8401","MATH 570","1","Teaching of Elementary Math","3","  LLFM","Lec","M","1600-1845","LUTR 352","Lenhart, Sara","4","Open","15","19","","","","",
"8403","MATH 570","2","Teaching of Elementary Math","3","  LLFM","Lec","M","1900-2145","LUTR 352","Lenhart, Sara","11","Open","8","19","","","","",
"9055","MGMT 400","2","Human Resource Management","3","","Lec","MWF","1400-1450","FORBES 2070D","Manspile, Randal","12","Open","12","24","","","","",
"9054","MGMT 400","2","Human Resource Management","3","","Lec","MWF","1200-1250","FORBES 3014","Manspile, Randal","1","Open","23","24","","","","",
"9056","MGMT 400","3","Human Resource Management","3","","Lec","TR","1500-1615","LUTR 170","Hench, Jessica","0","Closed","24","24","","","","",
"9057","MGMT 410","1","Supply Chain Management","3","","Lec","MWF","1100-1150","LUTR 105","Kirac, Emre","0","Closed","24","24","","","","",
"9058","MGMT 410","2","Supply Chain Management","3","","Lec","MWF","1300-1350","LUTR 105","Kirac, Emre","0","Closed","24","24","","","","",
"9059","MGMT 410","3","Supply Chain Management","3","","Lec","MWF","1400-1450","LUTR 105","Kirac, Emre","12","Open","12","24","","","","",
"9060","MGMT 491","1","WI: Senior Sem in Management","3","  WI","Lec","TR","1330-1445","FORBES 3014","Donaldson, William","2","Open","16","18","","","","",
"9061","MKTG 330","1","WI:Digital Marketing","3","  WI","Lec","MWF","0900-0950","LUTR 105","Hettche, Matthew","2","Open","16","18","","","","",
"9062","MKTG 455","1","Marketing Analytics","3","","Lec","MWF","1100-1150","FORBES 2074","Kim, Shinhye","-2","Closed","30","28","","","","",
"9063","MKTG 455","2","Marketing Analytics","3","","Lec","MWF","1200-1250","FORBES 2074","Kim, Shinhye","0","Closed","19","19","","","","",
"9064","MKTG 460","1","Integrated Marketing Communic","3","","Lec","TR","1630-1745","FORBES 2070A","Kim, Dae-Hee","-1","Closed","29","28","","","","",
"9065","MKTG 460","2","Integrated Marketing Communic","3","","Lec","TR","1800-1915","FORBES 2070A","Kim, Dae-Hee","0","Closed","19","19","","","","",
"9299","MKTG 499","1","IND ST: Interactive Marketing","3","","Ind","","","ARR ","Kim, Dae-Hee","-1","Closed","1","0","","","","",
"8759","MLAN 207","1R","International Cinema","3","  AICE","Lec","TR","0930-1045","MCM 360","Gordon, Rocio","-1","Closed","25","24","","","","",
"8762","MLAN 490","1","WI: Capstone Crse-Modern Lang","3","  WI","Lec","TR","1100-1215","MCM 307","Mulryan, Michael","8","Open","11","19","","","","",
"8799","MLAN 511","1","Advanced Strategies in TESOL","3","","Lec","M","1600-1845","MCM 257","Grau, Michelle","9","Open","9","18","","","","",
"8800","MLAN 570","1","Teaching Modern Languages","3","","Lec","T","1630-1915","MCM 312","Grau, Michelle","16","Open","2","18","","","","",
"8334","MLSC 101","1F","Leadership/Personal Developmen","2","","Lec","TR","0800-0915","MCM 112","Jones, Justin","10","Open","19","29","","","","",
"8335","MLSC 101L","1F","Leadership Lab","1","","Lab","W","1500-1715","MCM 112","Jones, Justin","10","Open","19","29","","","","",
"8336","MLSC 201","1","Innovative Team Leadership","2","","Lec","TR","0930-1045","MCM 112","Patti, Joseph","10","Open","19","29","","","","",
"8337","MLSC 201L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 112","Patti, Joseph","11","Open","18","29","","","","",
"9437","MLSC 201L","2","Leadership Lab","1","","Ind","","","ARR ","Patti, Joseph","-1","Closed","1","0","","","","",
"8338","MLSC 301","1","Adaptive Team Leadership","3","","Lec","TR","1100-1215","MCM 112","York, Michael","13","Open","16","29","","","","",
"8339","MLSC 301L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 112","York, Michael","13","Open","16","29","","","","",
"8340","MLSC 401","1","Developing Adaptive Leaders","3","","Lec","TR","1330-1445","MCM 112","Finch, Jason","12","Open","17","29","","","","",
"8341","MLSC 401L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 112","Finch, Jason","12","Open","17","29","","","","",
"8656","MUSC 012","1M","Performance Attendance","0","","Fie","","","ARR ","Reimer, Mark","38","Open","61","99","","","","",
"8657","MUSC 014","1","Clarinet Masterclass","0","","Lab","","","ARR ","Byerly, Michael","-2","Closed","2","0","","","","",
"8666","MUSC 014","10","Voice Masterclass","0","","Lab","","","ARR ","Holland, Rachel","-4","Closed","4","0","","","","",
