CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,
"8954","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0800-0850","LUTR 142","Williams, LaMonte","5","Open","31","36","","","","",
"8957","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","LUTR 142","Walker, George","13","Open","20","33","","","","",
"8966","ACCT 201","10","Prin of Account I: Financial","3","","Lec","TR","1630-1745","FORBES 2070C","Scott, Mary","1","Open","23","24","","","","",
"8958","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MWF","1000-1050","LUTR 142","Walker, George","4","Open","29","33","","","","",
"8960","ACCT 201","4","Prin of Account I: Financial","3","","Lec","MWF","1100-1150","FORBES 2070D","Kugel, Jonathan","1","Open","38","39","","","","",
"8961","ACCT 201","5","Prin of Account I: Financial","3","","Lec","MWF","1200-1250","LUTR 170","Walker, George","1","Open","32","33","","","","",
"8967","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","LUTR 137","Chung, Keun Ho","7","Open","17","24","","","","",
"8968","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","TR","1800-1915","LUTR 137","Chung, Keun Ho","7","Open","17","24","","","","",
"8969","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","1330-1445","LUTR 170","Frucot, Veronique","0","Closed","36","36","","","","",
"8970","ACCT 401","1","Taxation","3","","Lec","TR","1800-1915","LUTR 142","Scott, Mary","7","Open","12","19","","","","",
"8971","ACCT 405","1","Auditing","3","","Lec","MWF","1300-1350","FERG 221","Kugel, Jonathan","4","Open","20","24","","","","",
"8972","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","TR","0930-1045","LUTR 170","Frucot, Veronique","7","Open","12","19","","","","",
"9380","ACCT 499","1","IND ST: M&amp;A Aerospace Sector","3","","Ind","","","ARR ","Kugel, Jonathan","-1","Closed","1","0","","","","",
"8973","ACCT 500","1","Adv Finc Statement Analysis","3","","Lec","MW","1800-1915","LUTR 242","Donaldson, William","7","Open","5","12","","","","",
"8974","ACCT 502","1","Adv Tax Planning &amp; Research","3","","Lec","TR","1500-1615","LUTR 242","Scott, Mary","32","Open","4","36","","","","",
"8975","ACCT 570","1","Data Management &amp; Analytics","3","","Lec","MW","1600-1715","LUTR 123","Chen, Xian","3","Open","5","8","","","","",
"8976","ACCT 572","1","Cybr Security for Finc &amp; Acct","3","","Lec","MW","1930-2045","LUTR 242","Rogers, Deborah","7","Open","5","12","","","","",
"8469","AMST 100","1M","The American Experiment","3","  AIDE  ","Lec","MWF","1200-1250","MCM 114","Garmon, Frank","0","Closed","34","34","","","","",
"8470","AMST 100","2M","The American Experiment","3","  AIDE  ","Lec","MWF","1100-1150","MCM 114","Garmon, Frank","1","Open","33","34","","","","",
"8471","AMST 100","3M","The American Experiment","3","  AIDE  ","Lec","TR","1330-1445","MCM 101","White, Jonathan","2","Open","93","95","","","","",
"8472","AMST 100","4M","The American Experiment","3","  AIDE  ","Lec","MWF","0900-0950","MCM 210","Kaufer Busch, Elizabeth","1","Open","33","34","","","","",
"8473","AMST 100","5M","The American Experiment","3","  AIDE  ","Lec","TR","1800-1915","MCM 262","White, William","1","Open","23","24","","","","",
"8474","AMST 100","6C","The American Experiment","3","  AIDE  ","Lec","TR","1630-1745","MCM 262","White, William","0","Closed","19","19","","","","",
"9239","AMST 100","7R","The American Experiment","3","  AIDE  ","Lec","MWF","1000-1050","MCM 210","Kaufer Busch, Elizabeth","2","Open","32","34","","","","",
"9373","AMST 100","8","The American Experiment","3","  AIDE  ","Lec","MWF","1200-1250","MCM 312","McCarthy, William","1","Open","33","34","","","","",
"9374","AMST 100","9","The American Experiment","3","  AIDE  ","Lec","MWF","1300-1350","MCM 312","Little, David","4","Open","30","34","","","","",
"8475","AMST 120","1M","Encounters w/ the Constitution","3","  AIDE","Lec","TR","0930-1045","MCM 312","White, Jonathan","0","Closed","24","24","","","","",
"9377","AMST 120","2","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1630-1745","MCM 114","Mims, William","2","Open","32","34","","","","",
"8476","AMST 200","1","Evolution-American Experiment","3","  AIWT","Lec","TR","1100-1215","MCM 114","Morrison, Jeffry","1","Open","33","34","","","","",
"8478","AMST 300","1","The American Exp: Global Infl","3","  AIGM","Lec","TR","1930-2045","MCM 310","McCarthy, William","2","Open","17","19","","","","",
"9233","AMST 335","1","Moot Court","3","","Lec","TR","1630-1745","MCM 216","Downing, Dickerson","2","Open","17","19","","","","",
"9212","AMST 395","1","SPC TP: Music &amp; American Cultr","3","","Lec","MW","1600-1715","MCM 260","Morrison, Jeffry","2","Open","17","19","","","","",
"9384","AMST 395","2","SPC TP:COVID-19 &amp; Constitution","3","","Lec","TR","1330-1445","FORBES 2012","Mims, William","1","Open","5","6","","","","",
"9422","AMST 399","1","IND ST: Historical Economics","2","","Ind","","","ARR ","Garmon, Frank","-1","Closed","1","0","","","","",
"8480","AMST 490","1","WI: Capstone Sem-Amer Studies","3","  WI","Lec","TR","1100-1215","MCM 200C","Garmon, Frank","3","Open","12","15","","","","",
"8515","ANTH 200","3R","Human Adaptation","3","  AINW","Lec","TR","1800-1915","LUTR 170","Fitzsimons, Chandler","3","Open","32","35","","","","",
"9192","ANTH 200","4R","Human Adaptation","3","  AINW","Lec","TR","1630-1745","LUTR 170","Fitzsimons, Chandler","2","Open","33","35","","","","",
"8516","ANTH 203","1","Cultural Anthropology","3","  AIGM","Lec","MWF","1300-1350","LUTR 242","Timmer, Andria","0","Closed","19","19","","","","",
"8517","ANTH 203","2M","Cultural Anthropology","3","  AIGM","Lec","MWF","1400-1450","LUTR 242","Timmer, Andria","1","Open","34","35","","","","",
"9323","ANTH 203","3M","Cultural Anthropology","3","  AIGM","Lec","TR","1630-1745","LUTR 142","Palmer, Seth","0","Closed","19","19","","","","",
"9251","ANTH 309","1","Migration Displacmnt &amp; Refugee","3","  AIGM","Lec","MW","1600-1715","LUTR 269","Timmer, Andria","2","Open","7","9","","","","",
"8518","ANTH 310","1","Fear and Magic","3","","Lec","TR","1800-1915","LUTR 167","Palmer, Seth","4","Open","15","19","","","","",
"8520","ANTH 330","1","Language and Culture","3","  AIGM","Lec","TR","1500-1615","FORBES 2074","Palmer, Seth","2","Open","17","19","","","","",
"9246","ANTH 395","1","SPC TP: Forensic Anthropology","3","","Lec","M","1800-2045","LUTR 376","Santillan, Perla","-2","Closed","12","10","","","","",
"8717","ARAB 101","1R","Beginning Arabic I","3","","Lec","MWF","1000-1050","MCM 300B","Obeid, Diana","7","Open","10","17","","","","",
"8718","ARAB 101","2R","Beginning Arabic I","3","","Lec","MWF","1200-1250","MCM 207","Obeid, Diana","1","Open","18","19","","","","",
"8719","ARAB 201","1","Intermediate Arabic I","3","  LLFL","Lec","MWF","1300-1350","MCM 307","Obeid, Diana","8","Open","11","19","","","","",
"9260","BASN 130","1","Applied Music: Bassoon","1","","Lab","","","ARR ","Savige, David","-1","Closed","1","0","","","","",
"9350","BASN 131","1","Applied Music: Bassoon","1","","Lab","","","ARR ","Savige, David","-1","Closed","1","0","","","","",
"9434","BASS 231","1","Applied Music: Bass","1","","Lab","","","ARR ","McPeters, William","-1","Closed","1","0","","","","",
"8052","BCHM 414","1","Biochemistry I","3","","Lec","MWF","0800-0850","FORBES 2070E","Gruber, Todd","7","Open","41","48","","","","",
"8053","BCHM 414L","1","Biochemistry I Lab","1","","Lab","F","1300-1650","FORBES 3048","Thorsen, Amanda","15","Open","9","24","","","","",
"8054","BCHM 414L","2","Biochemistry I Lab","1","","Lab","R","1330-1720","FORBES 3048","Thorsen, Amanda","0","Closed","24","24","","","","",
"8001","BIOL 107","1M","General Biology I","3","  AINW","Lec","TR","1800-1915","FORBES 1022","Waldien, David","-1","Closed","96","95","","","","",
"8002","BIOL 109L","1","General Biology Laboratory","1","  AINW","Lab","M","1400-1550","FORBES 1027","Loftis, Jon","0","Closed","24","24","","","","",
"8003","BIOL 109L","2","General Biology Laboratory","1","  AINW","Lab","M","1600-1750","FORBES 1027","Loftis, Jon","0","Closed","24","24","","","","",
"8004","BIOL 109L","3","General Biology Laboratory","1","  AINW","Lab","M","1800-1950","FORBES 1027","Loftis, Jon","0","Closed","24","24","","","","",
"8005","BIOL 109L","4","General Biology Laboratory","1","  AINW","Lab","M","2000-2150","FORBES 1027","Loftis, Jon","1","Open","23","24","","","","",
"8006","BIOL 109L","5M","General Biology Laboratory","1","  AINW","Lab","T","1800-1950","FORBES 1027","Lundquist, Adam","0","Closed","24","24","","","","",
"8007","BIOL 109L","6","General Biology Laboratory","1","  AINW","Lab","T","2000-2150","FORBES 1027","Lundquist, Adam","1","Open","23","24","","","","",
"8008","BIOL 109L","7","General Biology Laboratory","1","  AINW","Lab","R","1800-1950","FORBES 1027","Lundquist, Adam","2","Open","22","24","","","","",
"8009","BIOL 109L","8","General Biology Laboratory","1","  AINW","Lab","R","2000-2150","FORBES 1027","Lundquist, Adam","0","Closed","24","24","","","","",
"8055","BIOL 113","1M","Topics in Medicine and Health","3","  AINW","Lec","MW","1800-1915","FORBES 2015","Powell, Lisa","1","Open","47","48","","","","",
"8010","BIOL 115","1M","Tpcs in Ecology &amp; Environment","3","  AINW","Lec","MW","1600-1715","FORBES 1022","Abraham, Barbara","11","Open","84","95","","","","",
"8056","BIOL 211","1M","Principles of Biology I","3","","Lec","TR","1100-1215","FORBES 2070D","Burket, Jessica","1","Open","47","48","","","","",
"8057","BIOL 211","2M","Principles of Biology I","3","","Lec","MWF","1400-1450","FORBES 2015","Burket, Jessica","9","Open","39","48","","","","",
"8058","BIOL 211","3R","Principles of Biology I","3","","Lec","MWF","1300-1350","FORBES 2070E","Salazar, Anna","32","Open","16","48","","","","",
"8059","BIOL 211","4M","Principles of Biology I","3","","Lec","MWF","0900-0950","MCM 114","Mitrano, Darlene","2","Open","46","48","","","","",
"8060","BIOL 211L","1R","Principles of Biology I Lab","1","","Lab","M","1800-2150","FORBES 1009","Henretta, Leah","1","Open","23","24","","","","",
"8061","BIOL 211L","2M","Principles of Biology I Lab","1","","Lab","T","1800-2150","FORBES 1009","Brown, Gwynne","2","Open","22","24","","","","",
"8062","BIOL 211L","3R","Principles of Biology I Lab","1","","Lab","R","1330-1720","FORBES 1009","Bogenpohl, James","0","Closed","24","24","","","","",
"8063","BIOL 211L","4R","Principles of Biology I Lab","1","","Lab","W","1800-2150","FORBES 1009","Sinclair, Kathryn","2","Open","22","24","","","","",
"8064","BIOL 211L","5R","Principles of Biology I Lab","1","","Lab","R","1800-2150","FORBES 1009","Li, Zidong","1","Open","23","24","","","","",
"8066","BIOL 211L","6R","Principles of Biology I Lab","1","","Lab","M","1300-1650","FORBES 1009","Tombolato-Terzić, Denise","5","Open","19","24","","","","",
"8011","BIOL 212","1","Principles of Biology II","3","","Lec","TR","0930-1045","FORBES 2070D","Lattanzio, Matthew","6","Open","42","48","","","","",
"8012","BIOL 212","2","Principles of Biology II","3","","Lec","TR","1100-1215","FORBES 2015","Meyer, Michael","-1","Closed","49","48","","","","",
"8013","BIOL 212L","1","Principles of Biology II Lab","1","","Lab","T","1330-1720","FORBES 1027","Haymond, Shauna","0","Closed","24","24","","","","",
"8014","BIOL 212L","2","Principles of Biology II Lab","1","","Lab","W","0900-1250","FORBES 1027","Haymond, Shauna","10","Open","14","24","","","","",
"8015","BIOL 212L","3","Principles of Biology II Lab","1","","Lab","R","1330-1720","FORBES 1027","Haymond, Shauna","0","Closed","24","24","","","","",
"8016","BIOL 212L","4","Principles of Biology II Lab","1","","Lab","W","1300-1650","FORBES 1002","Sinclair, Kathryn","2","Open","22","24","","","","",
"8017","BIOL 213","1A","Principles in Biology III","3","","Lec","MWF","0900-0950","FORBES 2074","Burke, Russell; Perry, James","19","Open","26","45","","","","",
"8018","BIOL 213","2B","Principles in Biology III","3","","Lec","MWF","0900-0950","FORBES 2070E","Burke, Russell; Perry, James","11","Open","37","48","","","","",
"8019","BIOL 213","3B","Principles in Biology III","3","","Lec","MWF","1000-1050","FORBES 1039","Collar, David","0","Closed","24","24","","","","",
"8020","BIOL 213L","1A","Principles of Biology III Lab","1","","Lab","T","1330-1720","FORBES 1033","Collar, David; Ramey, Teri; Stanley, Kayla; Kalmbach, Dahria","5","Open","19","24","","","","",
"8021","BIOL 213L","2B","Principles of Biology III Lab","1","","Lab","T","1330-1720","FORBES 1039","Collar, David; Ramey, Teri; Stanley, Kayla; Kalmbach, Dahria","0","Closed","24","24","","","","",
"8022","BIOL 213L","3A","Principles of Biology III Lab","1","","Lab","R","1330-1720","FORBES 1033","Collar, David; Ramey, Teri; Stanley, Kayla; Kalmbach, Dahria","17","Open","7","24","","","","",
"8023","BIOL 213L","4B","Principles of Biology III Lab","1","","Lab","R","1330-1720","FORBES 1039","Collar, David; Ramey, Teri; Stanley, Kayla; Kalmbach, Dahria","6","Open","18","24","","","","",
"8024","BIOL 213L","5B","Principles of Biology III Lab","1","","Lab","R","0800-1150","FORBES 1039","Collar, David; Ramey, Teri; Stanley, Kayla; Kalmbach, Dahria","6","Open","18","24","","","","",
"8067","BIOL 284","1","Fund Human Anatmy &amp; Phys I","3","","Lec","TR","1100-1215","FORBES 2014","Knight, William","0","Closed","24","24","","","","",
"8068","BIOL 284L","1","Fund Human Anatmy &amp; Phys Lab I","1","","Lab","M","1300-1650","FORBES 2056","Knight, William","2","Open","22","24","","","","",
"8069","BIOL 300","1","Biostats-Statstcl App Life Sci","3","","Lec","TR","0800-0915","FORBES 2090","Velkey, Andrew","-1","Closed","16","15","","","","",
"8070","BIOL 301","1","Microbiology","3","","Lec","MWF","1000-1050","FORBES 2015","Knies, Jennifer","7","Open","41","48","","","","",
"8071","BIOL 301","2","Microbiology","3","","Lec","MWF","1100-1150","FORBES 1002","Knies, Jennifer","1","Open","23","24","","","","",
"8072","BIOL 301L","1","Microbiology Laboratory","1","","Lab","M","1300-1650","FORBES 1015","Guidicelli-Gadea, Lourdes","0","Closed","24","24","","","","",
"8073","BIOL 301L","2","Microbiology Laboratory","1","","Lab","T","1330-1720","FORBES 1015","Guidicelli-Gadea, Lourdes","6","Open","18","24","","","","",
"8074","BIOL 301L","3","Microbiology Laboratory","1","","Lab","T","1800-2150","FORBES 1015","Guidicelli-Gadea, Lourdes","9","Open","15","24","","","","",
"8025","BIOL 306","1","Environmental Conservation","3","","Lec","MWF","1000-1050","FORBES 2051","Atkinson, Robert","0","Closed","24","24","","","","",
"8026","BIOL 306L","1","Environmental Conservation Lab","1","","Lab","W","1300-1650","FORBES 2051","Atkinson, Robert","-1","Closed","20","19","","","","",
"8075","BIOL 307","1","Cell Biology","3","","Lec","TR","0930-1045","FORBES 2070E","Meighan, Christopher","5","Open","43","48","","","","",
"8076","BIOL 307","2","Cell Biology","3","","Lec","TR","0800-0915","FORBES 2070E","Meighan, Christopher","22","Open","26","48","","","","",
"8077","BIOL 307L","1","Cell Biology Laboratory","1","","Lab","W","1300-1650","FORBES 1015","Tombolato-Terzić, Denise","7","Open","17","24","","","","",
"8078","BIOL 307L","2","Cell Biology Laboratory","1","","Lab","R","1330-1720","FORBES 1015","Tombolato-Terzić, Denise","12","Open","12","24","","","","",
"8079","BIOL 307L","3","Cell Biology Laboratory","1","","Lab","F","1300-1650","FORBES 1015","Tombolato-Terzić, Denise","21","Open","3","24","","","","",
"8027","BIOL 310","1","Plant Systematics","4","","Lec","MWF","0800-0850","FORBES 1033","Steven, Janet","4","Open","15","19","","","","",
"8028","BIOL 310L","1","Plant Systematics Lab","0","","Lab","F","1300-1650","FORBES 1033","Steven, Janet","4","Open","15","19","","","","",
"8080","BIOL 313","1","Genetics","3","","Lec","TR","1800-1915","LUTR 121","Bogenpohl, James","8","Open","40","48","","","","",
"8081","BIOL 314","1","Human Anatomy/Physiology I","3","","Lec","TR","0800-0915","FORBES 2070D","Grau, Harold","25","Open","23","48","","","","",
"8082","BIOL 314","2","Human Anatomy/Physiology I","3","","Lec","TR","0930-1045","FORBES 2015","Knight, William","2","Open","46","48","","","","",
"8084","BIOL 314L","2","Human Anatomy/Physiology I Lab","1","","Lab","W","1800-2150","FORBES 2056","Ramirez, Bill","3","Open","21","24","","","","",
"8086","BIOL 314L","4","Human Anatomy/Physiology I Lab","1","","Lab","W","1300-1650","FORBES 2056","Knight, William","1","Open","23","24","","","","",
"8087","BIOL 314L","5","Human Anatomy/Physiology I Lab","1","","Lab","T","1330-1720","FORBES 2056","Grau, Harold","6","Open","18","24","","","","",
"8029","BIOL 370","1","Macroevolution","3","","Lec","MWF","1200-1250","FORBES 2014","Collar, David","0","Closed","24","24","","","","",
"8091","BIOL 391","10","WI: Junior Seminar","1","  WI","Lec","F","1100-1150","FORBES 1015","Salazar, Anna","-1","Closed","8","7","","","","",
"8092","BIOL 391","11","WI: Junior Seminar","1","  WI","Lec","W","1000-1050","FORBES 1015","Salazar, Anna","-1","Closed","8","7","","","","",
"8093","BIOL 391","12","WI: Junior Seminar","1","  WI","Lec","W","1100-1150","FORBES 1015","Salazar, Anna","0","Closed","7","7","","","","",
"8031","BIOL 391","2","WI: Junior Seminar","1","  WI","Lec","W","0800-0850","FORBES 2051","Burke, Russell","2","Open","5","7","","","","",
"8033","BIOL 391","4","WI: Junior Seminar","1","  WI","Lec","M","1000-1050","FORBES 2043","Burke, Russell","2","Open","5","7","","","","",
"8034","BIOL 391","5","WI: Junior Seminar","1","  WI","Lec","W","1000-1050","FORBES 2043","Burke, Russell","3","Open","4","7","","","","",
"8088","BIOL 391","7","WI: Junior Seminar","1","  WI","Lec","M","1300-1350","FORBES 3048","Bogenpohl, James","-1","Closed","8","7","","","","",
"8089","BIOL 391","8","WI: Junior Seminar","1","  WI","Lec","M","1400-1450","FORBES 3048","Bogenpohl, James","1","Open","6","7","","","","",
"8090","BIOL 391","9","WI: Junior Seminar","1","  WI","Lec","M","1500-1550","FORBES 3048","Bogenpohl, James","0","Closed","7","7","","","","",
"8036","BIOL 403","1","Marine Biology","3","","Lec","TR","1100-1215","FORBES 2070E","Harwell, Heather","0","Closed","48","48","","","","",
"8094","BIOL 405","1","Disease Biology","3","","Lec","MWF","0900-0950","FORBES 2014","Grau, Harold","20","Open","9","29","","","","",
"8095","BIOL 411","1","Immunology","3","","Lec","TR","1500-1615","FORBES 2070C","Brown, Gwynne","5","Open","24","29","","","","",
"8096","BIOL 419","1","Exercise Physiology","3","","Lec","TR","1330-1445","FORBES 2015","Li, Zidong","40","Open","8","48","","","","",
"8097","BIOL 419L","1","Exercise Physiology Lab","1","","Lab","W","1300-1650","FORBES 3048","Li, Zidong","16","Open","8","24","","","","",
"8098","BIOL 423L","1","Human Donor Experience I","1 - 2","","Lab","","","ARR ","Murgia, Carla","-10","Closed","10","0","","","","",
"8037","BIOL 445","1","Mammalogy","4","","Lec","MWF","1100-1150","FORBES 2043","Sherwin, Richard","0","Closed","19","19","","","","",
"8038","BIOL 445L","1","Mammalogy Lab","0","","Lab","M","1300-1650","FORBES 2043","Sherwin, Richard","0","Closed","19","19","","","","",
"8039","BIOL 457","1","Entomology","4","","Lec","TR","0800-0915","FORBES 2043","Meyer, Michael","2","Open","17","19","","","","",
"8040","BIOL 457L","1","Entomology Lab","0","","Lab","R","1330-1720","FORBES 2043","Meyer, Michael","2","Open","17","19","","","","",
"8041","BIOL 465","1","Fish Biology","3","","Lec","TR","0930-1045","FORBES 2043","Thompson, Jessica","2","Open","17","19","","","","",
"8042","BIOL 465L","1","Fish Biology Laboratory","1","","Lab","T","1330-1720","FORBES 2043","Thompson, Jessica","2","Open","17","19","","","","",
"8043","BIOL 491","1","WI: Senior Seminar","1","  WI","Lec","M","0900-0950","FORBES 2051","Waldien, David","0","Closed","7","7","","","","",
"9419","BIOL 491","10","WI: Senior Seminar","1","  WI","Lec","F","0900-0950","FORBES 2043","Atkinson, Robert","-2","Closed","2","0","","","","",
"8044","BIOL 491","2","WI: Senior Seminar","1","  WI","Lec","W","0900-0950","FORBES 2051","Waldien, David","-1","Closed","8","7","","","","",
"8045","BIOL 491","3","WI: Senior Seminar","1","  WI","Lec","F","0900-0950","FORBES 2051","Waldien, David","-1","Closed","8","7","","","","",
"8099","BIOL 491","4","WI: Senior Seminar","1","  WI","Lec","W","1000-1050","FORBES 2012","Meighan, Christopher","1","Open","6","7","","","","",
"8100","BIOL 491","5","WI: Senior Seminar","1","  WI","Lec","W","1100-1150","FORBES 2088","Meighan, Christopher","0","Closed","7","7","","","","",
"8101","BIOL 491","6","WI: Senior Seminar","1","  WI","Lec","W","0900-0950","FORBES 2012","Meighan, Christopher","3","Open","4","7","","","","",
"8102","BIOL 491","7","WI: Senior Seminar","1","  WI","Lec","M","1200-1250","FORBES 2012","Knies, Jennifer","0","Closed","7","7","","","","",
"8103","BIOL 491","8","WI: Senior Seminar","1","  WI","Lec","F","1200-1250","FORBES 2012","Knies, Jennifer","0","Closed","7","7","","","","",
"8104","BIOL 491","9","WI: Senior Seminar","1","  WI","Lec","W","1200-1250","FORBES 2012","Knies, Jennifer","1","Open","6","7","","","","",
"9421","BIOL 492","1","IND ST: Undergrad Research","1","","Ind","","","ARR ","Tombolato-Terzić, Denise","-1","Closed","1","0","","","","",
"9432","BIOL 492","2","IND ST: Ridding RNA prep Plasm","1","","Ind","","","ARR ","Tombolato-Terzić, Denise","-1","Closed","1","0","","","","",
"9436","BIOL 492","3","IND ST: NASA &amp; Protein","3","","Ind","","","ARR ","Burket, Jessica","-1","Closed","1","0","","","","",
"9446","BIOL 492","4","IND ST: Swapping Plasmid Genes","1","","Ind","","","ARR ","Tombolato-Terzić, Denise","-1","Closed","1","0","","","","",
"9321","BIOL 496","1","PRT: Pivot Physical Therapy","1","","Pra","","","ARR ","Carney, Tiffany","-1","Closed","1","0","","","","",
"9364","BIOL 496","2","PRT: ACE Americorps Crew Membr","3","","Pra","","","ARR ","Harwell, Heather","-1","Closed","1","0","","","","",
"9428","BIOL 496","3","PRT: Riverside Orthopedics","1","","Pra","","","ARR ","Carney, Tiffany","-1","Closed","1","0","","","","",
"9391","BIOL 499","1","IND ST: Fringetree Propagation","3","","Ind","","","ARR ","Steven, Janet","-1","Closed","1","0","","","","",
"9411","BIOL 499","2","IND ST: CNU-VCU Pauley Heart 2","1","","Ind","W","1400-1450","FORBES 2088","Mitrano, Darlene","-2","Closed","2","0","","","","",
"9449","BIOL 499","3","IND ST: Biodiversity of Ecuadr","1","","Ind","","","ARR ","Sherwin, Richard","-1","Closed","1","0","","","","",
"8977","BTMG 010","1","First YR-BTMG Activity Course","0","","Fie","","","ARR ","Donaldson, William","3","Open","9","12","","","","",
"8978","BTMG 020","1","Second YR-BTMG Activity Course","0","","Fie","","","ARR ","Donaldson, William","5","Open","7","12","","","","",
"8979","BTMG 030","1","Third YR-BTMG Activity Course","0","","Fie","","","ARR ","Donaldson, William","1","Open","11","12","","","","",
"8980","BTMG 040","1","Fourth YR-BTMG Activity Course","0","","Fie","","","ARR ","Donaldson, William","7","Open","5","12","","","","",
"8981","BUSN 231","1","Applied Business Statistics","3","","Lec","MWF","1000-1050","LUTR 105","Bazzani, Phillip","0","Closed","24","24","","","","",
"8982","BUSN 231","2","Applied Business Statistics","3","","Lec","MWF","1300-1350","LUTR 123","Bazzani, Phillip","0","Closed","24","24","","","","",
"8983","BUSN 231","3","Applied Business Statistics","3","","Lec","TR","1500-1615","LUTR 105","Sixbey, Shannon","0","Closed","19","19","","","","",
"8984","BUSN 231","4","Applied Business Statistics","3","","Lec","MW","1600-1715","LUTR 109","Haque Simu, Tahsina","0","Closed","19","19","","","","",
"8986","BUSN 231","6","Applied Business Statistics","3","","Lec","TR","1630-1745","LUTR 105","Sixbey, Shannon","2","Open","17","19","","","","",
"8987","BUSN 231","7","Applied Business Statistics","3","","Lec","MW","1800-1915","LUTR 157","Haque Simu, Tahsina","1","Open","18","19","","","","",
"9224","BUSN 231","8","Applied Business Statistics","3","","Lec","MWF","0800-0850","LUTR 105","Bazzani, Phillip","0","Closed","19","19","","","","",
"8988","BUSN 251","1","Business Law I","3","","Lec","TR","0930-1045","LUTR 137","Ficht, Linda","5","Open","19","24","","","","",
"8989","BUSN 251","2","Business Law I","3","","Lec","TR","1100-1215","FORBES 2070C","Aman, Rebecca","2","Open","22","24","","","","",
"8990","BUSN 251","3","Business Law I","3","","Lec","TR","1100-1215","LUTR 137","Ficht, Linda","1","Open","23","24","","","","",
"8991","BUSN 251","4","Business Law I","3","","Lec","TR","1330-1445","LUTR 242","Aman, Rebecca","1","Open","23","24","","","","",
"8992","BUSN 251","5","Business Law I","3","","Lec","TR","1500-1615","LUTR 137","Ficht, Linda","9","Open","15","24","","","","",
"8993","BUSN 251","6","Business Law I","3","","Lec","MW","1800-1915","LUTR 264","Hansen, Bradley","5","Open","14","19","","","","",
"9033","BUSN 276L","1","Software Applctn for Business","2","","Lab","M","1800-2000","MCM 110","Dougherty, Janna","3","Open","16","19","","","","",
"9034","BUSN 276L","2","Software Applctn for Business","2","","Lab","R","1800-2000","MCM 110","Ibeh, Stephen","0","Closed","19","19","","","","",
"9035","BUSN 276L","3","Software Applctn for Business","2","","Lab","T","1800-2000","MCM 110","Shaltayeva, Yelena","0","Closed","19","19","","","","",
"9036","BUSN 276L","4","Software Applctn for Business","2","","Lab","W","1800-2000","MCM 110","Dougherty, Janna","4","Open","15","19","","","","",
"9037","BUSN 276L","5","Software Applctn for Business","2","","Lab","R","2000-2200","MCM 110","Ibeh, Stephen","12","Open","7","19","","","","",
"9038","BUSN 276L","6","Software Applctn for Business","2","","Lab","T","2000-2200","MCM 110","Shaltayeva, Yelena","5","Open","14","19","","","","",
"8995","BUSN 300","1","Organizational Behavior","3","","Lec","TR","0800-0915","FERG 220","Manspile, Randal","12","Open","7","19","","","","",
"8996","BUSN 300","2","Organizational Behavior","3","","Lec","TR","0930-1045","FERG 220","Manspile, Randal","0","Closed","15","15","","","","",
"8997","BUSN 300","3","Organizational Behavior","3","","Lec","MWF","1100-1150","LUTR 242","Schwartz, Shoshana","0","Closed","19","19","","","","",
"8998","BUSN 300","4","Organizational Behavior","3","","Lec","MWF","1200-1250","LUTR 242","Schwartz, Shoshana","0","Closed","19","19","","","","",
"8999","BUSN 300","5","Organizational Behavior","3","","Lec","MWF","1400-1450","FORBES 3012","Schwartz, Shoshana","0","Closed","19","19","","","","",
"9000","BUSN 303","1","Fundamentals of Business","3","","Lec","MWF","1000-1050","LUTR 242","McGreevy, Priscilla","0","Closed","19","19","","","","",
"9001","BUSN 303","2","Fundamentals of Business","3","","Lec","MWF","1300-1350","LUTR 137","McGreevy, Priscilla","1","Open","23","24","","","","",
"9002","BUSN 303","3","Fundamentals of Business","3","","Lec","MWF","1400-1450","LUTR 137","McGreevy, Priscilla","3","Open","21","24","","","","",
"9003","BUSN 304","1","Operations Management","3","","Lec","TR","0800-0915","LUTR 105","Wilson, Robert","3","Open","21","24","","","","",
"9004","BUSN 304","2","Operations Management","3","","Lec","TR","0930-1045","LUTR 105","Wilson, Robert","0","Closed","24","24","","","","",
"9005","BUSN 304","3","Operations Management","3","","Lec","TR","1100-1215","LUTR 105","Bursaw, Curtis","0","Closed","28","28","","","","",
"9006","BUSN 304","4","Operations Management","3","","Lec","TR","1800-1915","FORBES 3012","Bursaw, Curtis","0","Closed","18","18","","","","",
"9009","BUSN 305","2","Introduction to Data Analytics","3","","Lec","MW","1800-1915","LUTR 105","Lamprecht, Donna","1","Open","23","24","","","","",
"9010","BUSN 305","3","Introduction to Data Analytics","3","","Lec","TR","1800-1915","LUTR 105","Lamprecht, Donna","3","Open","16","19","","","","",
